"","obsn_num","house_price","income","in_cali","earthquake","epsilon"
<<<<<<< HEAD
"1",1,0.949806273111522,0.0892884685986457,1,0,0.153363930118293
"2",2,0.839249003632231,0.0860800208942476,1,0,0.0588488991609928
"3",3,0.934094155510381,0.107633018434825,1,0,0.0459290633362535
"4",4,0.767272756088202,0.107900612743364,1,0,-0.122230307628618
"5",5,0.89032587835009,0.100602592968366,1,0,0.0373129135082583
"6",6,0.764182983389855,0.0904830333988256,1,0,-0.0382321836042733
"7",7,0.724533518984873,0.0831172533763344,1,0,-0.0410527478967995
"8",8,0.912300279735772,0.113228747288027,1,0,-0.00384345670436366
"9",9,0.758601499765931,0.0889579166826786,1,0,-0.0361880836474618
"10",10,0.837150420032013,0.0942445223212621,1,0,0.0159278084257026
"11",11,0.812609756913089,0.107834049414946,1,0,-0.0765604901616413
"12",12,0.600698373752859,0.0934607862838575,1,0,-0.216605557666429
"13",13,0.763613451143257,0.0868037782856892,1,0,-0.0204054402851893
"14",14,0.223514520570014,0.120329435155502,1,1,-0.228132655207498
"15",15,0.435584013133705,0.106177772593127,1,1,0.054695150168071
"16",16,0.95048238510884,0.116599908956679,1,0,0.0174828403254452
"17",17,0.780816231964551,0.11641321287468,1,0,-0.151249832408847
"18",18,0.760615844445802,0.110885003893727,1,0,-0.143809175022831
"19",19,0.896632885694925,0.0967172962141947,1,0,0.0630464046239516
"20",20,0.8189696993029,0.102961527193554,1,0,-0.0458379366648692
"21",21,0.709556112862503,0.108281347032565,1,0,-0.181850622300322
"22",22,0.999947355265412,0.0929991418747774,1,0,0.184951645891525
"23",23,0.724680628316288,0.103426245834591,1,0,-0.142450600856669
"24",24,0.99019708991719,0.111548659348559,1,0,0.0824537931743962
"25",25,0.340238630670788,0.111985141889707,1,1,-0.0696870787777466
"26",26,0.834689572516444,0.104644790446441,1,0,-0.0385343797157612
"27",27,0.974511489778401,0.114419356968019,1,0,0.0524147049383053
"28",28,0.963354640069373,0.0867705584841788,1,0,0.179501847648479
"29",29,0.94874866577346,0.106768542475178,1,0,0.0649059533975686
"30",30,0.800616760674461,0.106143715459186,1,0,-0.0801018166214662
"31",31,0.960132598300808,0.101296622537423,1,0,0.103649485613692
"32",32,0.699074159656306,0.0903929995513449,1,0,-0.102890838100419
"33",33,0.818351605407365,0.106198788789634,1,0,-0.0626423385408044
"34",34,0.848169992724193,0.0799434914835063,1,0,0.0984525353066618
"35",35,0.843641026574949,0.112948814294791,1,0,-0.0711030448990041
"36",36,1.03582671735951,0.11338135037594,1,0,0.11891996547981
"37",37,0.856939969232022,0.100913571365114,1,0,0.00237211240645308
"38",38,0.883819680360771,0.106494212144208,1,0,0.00134861963972853
"39",39,0.592913727702805,0.0890249474097521,1,0,-0.202211009345955
"40",40,0.839228752173706,0.10883868018547,1,0,-0.0549646487536424
"41",41,0.763628935662139,0.0963959017193778,1,0,-0.0683505729347495
"42",42,1.01205913510589,0.0955549280030622,1,0,0.184284495090581
"43",43,0.748307819169551,0.0884983428242609,1,0,-0.0441838949517537
"44",44,0.8785026143149,0.104135004042168,1,0,0.00782759410406238
"45",45,1.12073346517126,0.103430644939,1,0,0.253580240476255
